idx,Category,Variable,Unit,Definition,Tier,Report when,Report for,,Note,,
228,Emissions,Emissions|Montreal Gases|CFC|CFC115,kt CFC115/yr,"Total emissions of CFC115 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
229,Emissions,Emissions|Montreal Gases|CFC|CFC12,kt CFC12/yr,"Total emissions of CFC12 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
230,Emissions,Emissions|Montreal Gases|CH2Cl2,kt CH2Cl2/yr,"Total emissions of CH2Cl2 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
231,Emissions,Emissions|Montreal Gases|CH3Br,kt CH3Br/yr,"Total emissions of CH3Br from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
232,Emissions,Emissions|Montreal Gases|CH3CCl3,kt CH3CCl3/yr,"Total emissions of CH3CCl3 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
233,Emissions,Emissions|Montreal Gases|CH3Cl,kt CH3Cl/yr,"Total emissions of CH3Cl from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
234,Emissions,Emissions|Montreal Gases|CHCl3,kt CHCl3/yr,"Total emissions of CHCl3 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
235,Emissions,Emissions|Montreal Gases|Halon1202,kt Halon1202/yr,"Total emissions of Halon1202 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
236,Emissions,Emissions|Montreal Gases|Halon1211,kt Halon1211/yr,"Total emissions of Halon1211 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
237,Emissions,Emissions|Montreal Gases|Halon1301,kt Halon1301/yr,"Total emissions of Halon1301 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
238,Emissions,Emissions|Montreal Gases|Halon2402,kt Halon2402/yr,"Total emissions of Halon2402 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
239,Emissions,Emissions|Montreal Gases|HCFC141b,kt HCFC141b/yr,"Total emissions of HCFC141b from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
240,Emissions,Emissions|Montreal Gases|HCFC142b,kt HCFC142b/yr,"Total emissions of HCFC142b from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
241,Emissions,Emissions|Montreal Gases|HCFC22,kt HCFC22/yr,"Total emissions of HCFC22 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
242,Nitrogen Cycle,Net Flux to Atmosphere|N2O,Mt N2O/yr,"Total flux of N20 from the surface to the atmosphere due to any process. A positive value indicates release of N20 to the atmosphere, and a negative value indicates a net atmosphere loss. This should be the sum of the ""Emissions|N20"" and ""Natural Fluxes|N2O"" quantities.",1,Non-idealised,Each ensemble member,,,,
243,Nitrogen Cycle,Emissions|N2O,Mt N2O/yr,"Total flux of N20 from the surface due to any process of anthropogenic origin. A positive value indicates release of N20 to the atmosphere, and a negative value indicates a net atmosphere loss. ",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
244,Nitrogen Cycle,Natural Fluxes|N2O,Mt N2O/yr,"Total flux of N20 from the surface to the atmosphere due to any natural processes. A positive value indicates release of N20 to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised,Each ensemble member,,,,
245,Emissions,Emissions|NH3,Mt NH3/yr,"Total emissions of NH3 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
246,Emissions,Emissions|NOx,Mt NOx/yr,"Total emissions of NOx from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
247,Emissions,Emissions|OC,Mt OC/yr,"Total emissions of OC from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
248,Emissions,Emissions|Sulfur,Mt SO2/yr,"Total emissions of Sulfur from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
249,Emissions,Emissions|VOC,Mt VOC/yr,"Total emissions of VOC from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
250,Climate,Heat Content|Ocean,ZJ,total ocean heat content,1,Always,Each ensemble member,,,,
251,Climate,Heat Content|Ocean|0-700m,ZJ,ocean heat content between 0 and 700m,2,Always,Each ensemble member,,,,
252,Climate,Heat Content|Ocean|700-2000m,ZJ,ocean heat content between 700 and 2000m,2,Always,Each ensemble member,,,,
253,Climate,Heat Content|Ocean|below-2000m,ZJ,ocean heat content below 2000m,2,Always,Each ensemble member,,,,
254,Climate,Heat Uptake,ZJ/yr,"total Heat Uptake of the Earth System (ZJ is zetta joules i.e. 10^21J), equivalent to the the energy imbalance at the top of the atmosphere. ",1,Always,Each ensemble member,,,,
255,Climate,Heat Uptake|Atmosphere,ZJ/yr,atmosphere Heat Uptake  (ZJ is zetta joules i.e. 10^21J),2,Always,Each ensemble member,,,,
256,Climate,Heat Uptake|Ice,ZJ/yr,ice Heat Uptake  (ZJ is zetta joules i.e. 10^21J),2,Always,Each ensemble member,,,,
257,Climate,Heat Uptake|Land,ZJ/yr,land Heat Uptake (ZJ is zetta joules i.e. 10^21J),2,Always,Each ensemble member,,,,
258,Climate,Heat Uptake|Ocean,ZJ/yr,ocean Heat Uptake through surface layer of the ocean (ZJ is zetta joules i.e. 10^21J),1,Always,Each ensemble member,,,,
259,Climate,Heat Uptake|Other,ZJ/yr,"other Heat Uptake (ZJ is zetta joules i.e. 10^21J). Please specify what ""other"" is in the Comments sheet. ",2,Always,Each ensemble member,,,,
260,Ocean,Ocean pH,Dimensionless,pH of the ocean's surface layer,3,Always,Each ensemble member,,,,
261,Sea Level Change,Sea Level Change,cm,Total grobal mean sea level rise ,3,Always,Each ensemble member,,,,
262,Sea Level Change,Sea Level Change|Thermal Expansion,cm,Global mean sea level rise due to thermal expansion,3,Always,Each ensemble member,,,,
263,Sea Level Change,Sea Level Change|Glaciers,cm,Global mean sea level rise due to glaciers melting,3,Always,Each ensemble member,,,,
264,Sea Level Change,Sea Level Change|Greenland,cm,Global mean sea level rise due to Greenland's ice melting,3,Always,Each ensemble member,,,,
265,Sea Level Change,Sea Level Change|Antarctica,cm,Global mean sea level rise due to Antarctica's ice melting,3,Always,Each ensemble member,,,,
266,Sea Level Change,Sea Level Change|Land Water Storage,cm,Global mean sea level rise due to changes in land water storage,3,Always,Each ensemble member,,,,
267,Climate,Surface Air Ocean Blended Temperature Change,K,change in blended surface air/ocean tempertaure (i.e. quantity which is directly comparable with observational datasets e.g. HadCRUT4 or best proxy thereof). Please note reference period in comment sheet. ,2,Always,Each ensemble member,,,,
268,Climate,Surface Air Temperature Change,K,change in surface air tempertaure (i.e. 2m air temperature or best proxy thereof). Please note reference period in comment sheet. ,1,Always,Each ensemble member,,,,
269,Climate,Surface Ocean Temperature Change,K,change in surface layer ocean tempertaure. Please note reference period in comment sheet. ,1,Always,Each ensemble member,,,,
,,,,,,,,,,,
270,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Ozone,W/m^2,effective radiative forcing from ozone (after stratospheric temperature adjustments and rapid adjustments) ,1,Non-idealised,Each ensemble member,(added ad hoc),,,
